Ref,Val,Package,PosX,PosY,Rot,Side
"PS1","IRM-03-5","Converter_ACDC_MeanWell_IRM-03-xx_SMD",153.162000,-69.088000,90.000000,bottom
"B1","CR1220","CR1220",140.970000,-106.934000,90.000000,top
"C1","22pF","0603-1608X90N",154.178000,-79.756000,0.000000,top
"C2","22pF","0603-1608X90N",159.004000,-79.756000,180.000000,top
"C3","100nF","0402-1005X55N",144.272000,-63.442000,90.000000,top
"C4","1µF","0402-1005X55N",141.732000,-57.404000,180.000000,top
"C5","1µF","0402-1005X55N",144.272000,-59.944000,270.000000,top
"C6","4.7uF","CAPAE430X550N",139.700000,-61.468000,180.000000,top
"C7","4.7uF","CAPAE430X550N",155.448000,-108.966000,180.000000,top
"C8","100nF","0402-1005X55N",159.258000,-104.394000,0.000000,top
"C9","100nF","0402-1005X55N",169.926000,-64.516000,0.000000,top
"C10","1µF","0603-1608X90N",133.096000,-83.312000,270.000000,top
"C12","1uF","0402-1005X55N",149.098000,-58.928000,270.000000,top
"D1","0025_SS1P3L-M3_84A","DO220AAL",155.386000,-104.394000,0.000000,top
"D2","1N4148WS","SODFL2512X100N",141.224000,-88.646000,90.000000,top
"F1","MFFSMF050","0603-1608X90N",161.798000,-108.966000,180.000000,top
"IC1","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",139.446000,-72.136000,0.000000,top
"IC2","FT232RL","SSOP-28_W5.30mm",168.910000,-75.438000,180.000000,top
"IC3","ATMEGA328P-AUR","TQFP-32_7x7mm",155.448000,-73.152000,90.000000,top
"J2","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical_SMD_Pin1Right",156.210000,-63.500000,270.000000,top
"PWR1","Green","LEDC1608X80N-AK",150.876000,-56.680000,90.000000,top
"R1","10k","0402-1005X55N",148.844000,-69.850000,90.000000,top
"R2","10k","0402-1005X55N",147.066000,-68.326000,90.000000,top
"R3","330","0402-1005X55N",173.482000,-96.266000,90.000000,top
"R4","330","0402-1005X55N",173.482000,-85.852000,270.000000,top
"R5","330","0402-1005X55N",149.098000,-56.330000,90.000000,top
"R6","4.7k","0402-1005X55N",149.098000,-76.650000,90.000000,top
"R7","1k","0402-1005X55N",168.968000,-62.992000,180.000000,top
"R8","1k","0402-1005X55N",173.228000,-68.072000,270.000000,top
"R9","1k","0402-1005X55N",170.434000,-68.072000,270.000000,top
"RX1","Red","LEDC1608X80N-AK",173.482000,-93.218000,90.000000,top
"SW1","RESET","C&K_PTS820_NO_HOLES",155.194000,-57.150000,0.000000,top
"TX1","Green","LEDC1608X80N-AK",173.482000,-89.408000,270.000000,top
"U1","TC1108-3.3VDBTR","SOT230P700X180-4N",138.938000,-81.788000,0.000000,top
